Game Name,System Full,Units(m),Publisher,Developer,Image_URL,Release Date
ClayFighter,Sega Genesis,0.0,Interplay,Visual Concepts,https://www.vgchartz.com/games/boxart/6389732ccc.jpg,01/01/1994
Disney's Beauty and the Beast: Belle's Quest,Sega Genesis,0.0,Sunsoft,Software Creations,https://www.vgchartz.com/games/boxart/full_disneys-beauty-and-the-beast-belles-quest_122AmericaFront.jpg,01/01/1993
Pebble Beach Golf Links,Sega Genesis,0.0,Sega,Tikipod,https://www.vgchartz.com/games/boxart/full_2290383AmericaFrontccc.jpg,01/01/1993
Chavez II,Sega Genesis,0.0,American Softworks,Sculptured Software,https://www.vgchartz.com/games/boxart/8378510ccc.jpg,01/01/1993
Jungle Strike,Sega Genesis,0.0,Electronic Arts,High Score Productions,https://www.vgchartz.com/games/boxart/full_4745212AmericaFrontccc.jpg,16/12/1993
Zoop,Sega Genesis,0.0,Viacom,Panelcomp,https://www.vgchartz.com/games/boxart/8859557ccc.jpg,01/01/1995
Dangerous Seed,Sega Genesis,0.0,Namco,Namco,https://www.vgchartz.com/games/boxart/full_46085JapanFrontccc.jpg,18/12/1990
Lotus II,Sega Genesis,0.0,Electronic Arts,Gremlin Interactive,https://www.vgchartz.com/games/boxart/full_259689AmericaFrontccc.jpg,01/01/1993
Gods,Sega Genesis,0.0,Mindscape,The Bitmap Brothers,https://www.vgchartz.com/games/boxart/1039152ccc.jpg,01/01/1992
Eliminate Down,Sega Genesis,0.0,Soft Vision International,Aprinet,https://www.vgchartz.com/games/boxart/full_eliminate-down_155JapanFront.jpg,25/06/1993
Pac-Mania,Sega Genesis,0.0,Tengen,Sculptured Software,https://www.vgchartz.com/games/boxart/full_pac-mania_5AmericaFront.jpg,01/01/1991
NHL 95,Sega Genesis,0.0,Electronic Arts,High Score Productions,https://www.vgchartz.com/games/boxart/full_5532054AmericaFrontccc.jpg,01/01/1995
RoadBlasters,Sega Genesis,0.0,Tengen,Sterling Silver Software,https://www.vgchartz.com/games/boxart/full_roadblasters_5AmericaFront.jpg,01/01/1991
Steel Talons,Sega Genesis,0.0,Tengen,Polygames,https://www.vgchartz.com/games/boxart/full_7727038AmericaFrontccc.jpg,01/01/1992
Golden Axe 3,Sega Genesis,0.0,Unknown,Unknown,https://www.vgchartz.com/games/boxart/default.jpg,
Arrow Flash,Sega Genesis,0.0,Sega,"Renovation Products, Inc.",https://www.vgchartz.com/games/boxart/full_arrow-flash_839AmericaFront.jpg,01/01/1990
Midnight Resistance,Sega Genesis,0.0,Sega,OperaHouse,https://www.vgchartz.com/games/boxart/5967568ccc.jpg,08/11/1991
Super Baseball 2020,Sega Genesis,0.0,Electronic Arts,Pallas,https://www.vgchartz.com/games/boxart/full_389762AmericaFrontccc.jpg,03/03/1994
Desert Strike: Return to the Gulf,Sega Genesis,0.0,Electronic Arts,Visual Concepts,https://www.vgchartz.com/games/boxart/8297695ccc.jpg,04/06/1994
The Disney Collection: Castle of Illusion / Quackshot,Sega Genesis,0.0,Sega,Sega (AM7),https://www.vgchartz.com/games/boxart/full_the-disney-collection-castle-of-illusion-quackshot_4PALFront.jpg,01/01/1996
Warlock,Sega Genesis,0.0,Acclaim Entertainment,Realtime Associates,https://www.vgchartz.com/games/boxart/full_8144505AmericaFrontccc.jpg,01/01/1994
The Ren & Stimpy Show Presents: Stimpy's Invention,Sega Genesis,0.0,Sega,Blue Sky Software,https://www.vgchartz.com/games/boxart/full_the-ren-amp-stimpy-show-presents-stimpys-invention_1AmericaFront.jpg,01/01/1993
Exile,Sega Genesis,0.0,Renovation,Nippon Telenet,https://www.vgchartz.com/games/boxart/full_exile_555AmericaFront.jpg,05/12/1991
Gaiares,Sega Genesis,0.0,Renovation,Telenet Japan,https://www.vgchartz.com/games/boxart/full_6288845AmericaFrontccc.jpg,01/01/1990
PGA Tour 96,Sega Genesis,0.0,EA Sports,NuFX,https://www.vgchartz.com/games/boxart/full_pga-tour-96_2AmericaFront.jpg,01/01/1995
Galaxy Force II,Sega Genesis,0.0,Sega,CRI,https://www.vgchartz.com/games/boxart/full_3573662AmericaFrontccc.jpg,12/08/1991
PGA Tour Golf II,Sega Genesis,0.0,Electronic Arts,Polygames,https://www.vgchartz.com/games/boxart/full_pga-tour-golf-ii_987AmericaFront.jpg,01/01/1992
